DEPARTMENT_NAME,TITLE,,
BPS Dever Elementary,Coordinator 7,,
BPS Dever Elementary,Manager (D) (non-ac),,
BPS Dever Elementary,SpEd Support Svcs Coordinator,,
BPS Dever Elementary,Nurse,,
BPS Dever Elementary,Social Worker/Coordinator,,
BPS Dever Elementary,Surround Care Paraprofessional,,
BPS Dever Elementary,Director (D),,
BPS Dever Elementary,Community Field Coordinator,,
BPS Dever Elementary,Paraprofessional,,
BPS Dever Elementary,Fam & Comm Outreach Coord,,
BPS Dever Elementary,Part-Time Cafeteria Attendant,,
BPS Dever Elementary,Lunch Hour Monitors,,
BPS Dever Elementary,Prin Clerk/School Sec 28,,
BPS Dever Elementary,Cafeteria Manager 10,,
BPS Dever Elementary,Manager (C) (non-ac),,
BPS Dever Elementary,Prin Clerk/School Sec 19,,
BPS Dever Elementary,Attendant,,
BPS East Boston High,Headmaster,,
BPS East Boston High,Teacher,,
BPS East Boston High,Small Learning Comm Leader,,
BPS East Boston High,SpEd Support Svcs Coordinator,,
BPS East Boston High,Program Director (Basas 9A),,
BPS East Boston High,Student Dev Counselor (1),,
BPS East Boston High,Asst Headmaster,,
BPS East Boston High,Rotc Instructor,,
BPS East Boston High,Nurse,,
BPS East Boston High,Registrar,,
BPS East Boston High,Librarian,,
BPS East Boston High,Technician (B),,
BPS East Boston High,Staff Asst (B),,
BPS East Boston High,Social Worker/Coordinator,,
BPS East Boston High,Shared Manager,,
BPS East Boston High,Prin Clerk/School Sec 21,,
BPS East Boston High,Asst Cafeteria Manager,,
BPS East Boston High,Paraprofessional,,
BPS East Boston High,Sen Clerk-School Secretary 15,,
BPS East Boston High,Library Paraprofessional,,
BPS East Boston High,Part-Time Cafeteria Attendant,,
BPS East Boston High,Cluster Substitute,,
BPS Edwards Middle,Teacher,,
BPS Edwards Middle,Principal Middle,,
BPS Edwards Middle,Social Worker/Coordinator,,
BPS Edwards Middle,SpEd Support Svcs Coordinator,,
BPS Edwards Middle,Asst Principal Middle,,
BPS Edwards Middle,Nurse,,
BPS Edwards Middle,Guidance Counselor(1),,
BPS Edwards Middle,Specialist (BTU),,
BPS Edwards Middle,Community Field Coordinator,,
BPS Edwards Middle,Cafeteria Manager14,,
BPS Edwards Middle,Prin Clerk/School Sec 19,,
BPS Edwards Middle,Security Para,,
BPS Edwards Middle,Coord-Manager (B),,
BPS Edwards Middle,Paraprofessional,,
BPS Edwards Middle,Part-Time Cafeteria Attendant,,
BPS Edwards Middle,Cluster Substitute,,
BPS Edwards Middle,Employment Agreement,,
BPS Ellis Elementary,Teacher,,
BPS Ellis Elementary,Principal Elementary,,
BPS Ellis Elementary,Social Worker/Coordinator,,
BPS Ellis Elementary,Instructional Coach,,
BPS Ellis Elementary,Specialist (BTU),,
BPS Ellis Elementary,Nurse,,
BPS Ellis Elementary,Prin Clerk/School Sec 19,,
BPS Ellis Elementary,Community Field Coordinator,,
BPS Ellis Elementary,Paraprofessional,,
BPS Ellis Elementary,Security Para,,
BPS Ellis Elementary,Part-Time Cafeteria Attendant,,
BPS Ellis Elementary,Cafeteria Manager 10,,
BPS Ellis Elementary,Cluster Substitute,,
BPS Ellis Elementary,Staff Asst (B),,
BPS Ellis Elementary,Lunch Hour Monitors,,
BPS English High,Teacher,,
BPS English High,Instructional Coach,,
BPS English High,Student Dev Counselor (1),,
BPS English High,Program Director (Basas 9A),,
BPS English High,Asst Headmaster,,
BPS English High,Student Services Coordinator,,
BPS English High,Headmaster,,
BPS English High,Nurse,,
BPS English High,Social Worker/Coordinator,,
BPS English High,Librarian,,
BPS English High,Coord-Manager (C),,
BPS English High,SpEd Support Svcs Coordinator,,
BPS English High,Rotc Instructor,,
BPS English High,Director Of Instruction,,
BPS English High,Head Staff Assistant 28,,
BPS English High,Staff Asst (B),,
BPS English High,Prin Clerk/School Sec 19,,
BPS English High,Paraprofessional,,
BPS English High,Security Para,,
BPS English High,Employment Agreement,,
BPS English High,Cafeteria Manager14,,
BPS English High,Part-Time Cafeteria Attendant,,
BPS Equity,Asst Superintendent (non-ac),,
BPS Equity,Director (D) (non-ac),,
BPS Equity,Manager (D) (non-ac),,
BPS Equity,One to One Para,,
BPS Equity,Jr Technician (A),,
BPS Equity,Intern 3,,
BPS Equity,Analyst (C),,
BPS Equity,Employment Agreement,,
BPS Everett Elementary,Principal Elementary,,
BPS Everett Elementary,Teacher,,
BPS Everett Elementary,Prin Clerk/School Sec 19E,,
BPS Everett Elementary,Staff Asst (B),,
BPS Everett Elementary,Paraprofessional,,
BPS Everett Elementary,Lead Satellite Attendant B,,
BPS Everett Elementary,Lunch Hour Monitors,,
BPS Everett Elementary,Cluster Substitute,,
BPS Facilitites Management,Jr. Custodian/Nights,,
BPS Facility Management,Area Manager,,
BPS Facility Management,Sen Cust C/Nights,,
BPS Facility Management,Building Services Fleet Mgr,,
BPS Facility Management,Bldg Services Material Dis Mg,,
BPS Facility Management,Asst Supv Custodians,,
BPS Facility Management,Sen Cust C,,
BPS Facility Management,Head Admin Clerk-32,,
BPS Facility Management,Head Grounds Keeper,,
BPS Facility Management,Jr Custodian,,
BPS Facility Management,Jr Cust/Nights,,
BPS Facility Management,Prin Clerk Typist 28,,
BPS Facility Management,Sen Custodian,,
BPS Facility Management,Prin Clerk Typist 27,,
BPS Facility Management,Jr Technician (B),,
BPS Facility Management,Sen Cust D,,
BPS Facility Management,Prin Storekeeper 23,,
BPS Facility Management,Recycle Op 17,,
BPS Facility Management,Recyle Oper 12,,
BPS Facility Management,Part-Time Custodian,,
BPS Facility Mgmt/A & R,Manager (D) (non-ac),,
BPS Facility Mgmt/A & R,Sen Sup School Bldgs Alt&Rep,,
BPS Facility Mgmt/A & R,Director (E) (non-ac),,
BPS Facility Mgmt/A & R,Chief Electrical Engineer,,
BPS Facility Mgmt/A & R,Chief Sup-Sch Bdg/Al & Rep,,
BPS Facility Mgmt/A & R,Asst Director (D) (non ac),,
BPS Facility Mgmt/A & R,Sen Supv Schl Bldg Electrical,,
BPS Facility Mgmt/A & R,Sen Spec - Energy,,
BPS Facility Mgmt/A & R,Chief Supv Of I/M - Alarms,,
BPS Facility Mgmt/A & R,Unit Leader (D),,
BPS Facility Mgmt/A & R,Sen Specialist (C),,
BPS Facility Mgmt/A & R,Sen Supv-Sch Bld Plmg & Gsftg,,
BPS Facility Mgmt/A & R,Chief Supv Htg &Ventilation,,
BPS Facility Mgmt/A & R,Sen Tech - Energy,,
BPS Facility Mgmt/A & R,Chief Sup-Sch Bdg Plg&Gas Ftng,,
BPS Facility Mgmt/A & R,Sen Tech - Environmental,,
BPS Facility Mgmt/A & R,Sen Coordinator/Planner,,
BPS Facility Mgmt/A & R,Sen Sup Sch Bldgs Heating&Ven,,
BPS Facility Mgmt/A & R,Specialist (C),,
BPS Facility Mgmt/A & R,Staff Asst (B),,
BPS Facility Mgmt/A & R,Asst Supv-Sch Bld El In & Mnt,,
BPS Facility Mgmt/A & R,Coord-Manager (C),,
BPS Facility Mgmt/A & R,Head Account Clk 31,,
BPS Facility Mgmt/A & R,Secretary 23,,
BPS Facility Mgmt/A & R,Prin Clerk Typist 21,,
BPS Facility Mgmt/A & R,Prin Account Clerk 21,,
BPS Fenway High,Headmaster,,
BPS Fenway High,Teacher,,
BPS Fenway High,Social Worker/Coordinator,,
BPS Fenway High,SpEd Support Svcs Coordinator,,
BPS Fenway High,Student Services Coordinator,,
BPS Fenway High,Instructional Coach,,
BPS Fenway High,Sen Coordinator (C) (non-ac),,
BPS Fenway High,Nurse,,
BPS Fenway High,Program Director (Basas 10B),,
BPS Fenway High,Librarian,,
BPS Fenway High,Prin Clerk/School Sec 28,,
BPS Fenway High,Community Field Coordinator,,
BPS Fenway High,Coord-Manager (B),,
BPS Fenway High,Coordinator (C),,
BPS Fenway High,Paraprofessional,,
BPS Fenway High,Jr Coordinator (B),,
BPS Fenway High,Cafeteria Manager 12,,
BPS Fenway High,Part-Time Cafeteria Attendant,,
BPS Fenway High,Prin Clerk/School Sec 19,,
BPS Fenway High,Cafeteria Manager14,,
BPS Grew Elementary,Principal Elementary,,
BPS Grew Elementary,Teacher,,
BPS Grew Elementary,SpEd Support Svcs Coordinator,,
BPS Grew Elementary,Nurse,,
BPS Grew Elementary,Cluster Substitute,,
BPS Grew Elementary,Prin Clerk/School Sec 19,,
BPS Grew Elementary,Paraprofessional,,
BPS Grew Elementary,Staff Asst (B),,
BPS Grew Elementary,Lead Satellite Attendant B,,
BPS Grew Elementary,Lunch Hour Monitors,,
BPS Grew Elementary,Sub Lunch Monitor,,
BPS Guild Elementary,Principal Elementary,,
BPS Guild Elementary,Teacher,,
BPS Guild Elementary,Nurse,,
BPS Guild Elementary,Community Field Coordinator,,
BPS Guild Elementary,Prin Clerk/School Sec 19,,
BPS Guild Elementary,Paraprofessional,,
BPS Guild Elementary,Cafeteria Manager 10,,
BPS Guild Elementary,Part-Time Cafeteria Attendant,,
BPS Guild Elementary,Lunch Hour Monitors,,
BPS Hale Elementary,Principal Elementary,,
BPS Hale Elementary,Teacher,,
BPS Hale Elementary,SpEd Support Svcs Coordinator,,
BPS Hale Elementary,Nurse,,
BPS Hale Elementary,Director (D),,
BPS Hale Elementary,Prin Clerk/School Sec 19,,
BPS Hale Elementary,Cafeteria Manager 10,,
BPS Hale Elementary,Paraprofessional,,
BPS Hale Elementary,Part-Time Cafeteria Attendant,,
BPS Hale Elementary,Lunch Hour Monitors,,
BPS Harvard/Kent Elementary,Principal Elementary,,
BPS Harvard/Kent Elementary,Teacher,,
BPS Harvard/Kent Elementary,Asst Principal Elementary,,
BPS Harvard/Kent Elementary,Specialist (BTU),,
BPS Harvard/Kent Elementary,SpEd Support Svcs Coordinator,,
BPS Harvard/Kent Elementary,Nurse,,
BPS Harvard/Kent Elementary,Community Field Coordinator,,
BPS Harvard/Kent Elementary,Prin Clerk/School Sec 19,,
BPS Harvard/Kent Elementary,Paraprofessional,,
BPS Harvard/Kent Elementary,Cafeteria Manager14,,
BPS Harvard/Kent Elementary,Cafeteria Manager 12,,
BPS Harvard/Kent Elementary,Part-Time Cafeteria Attendant,,
BPS Harvard/Kent Elementary,Cluster Substitute,,
BPS Harvard/Kent Elementary,Lunch Hour Monitors,,
BPS Health and Wellness,Asst Superintendent,,
BPS Health and Wellness,Director (BASAS 11B),,
BPS Health and Wellness,Instructional Coach,,
BPS Health and Wellness,Teacher,,
BPS Health and Wellness,Specialist (BTU) non ac,,
BPS Health and Wellness,Asst Director (D) (non ac),,
BPS Health and Wellness,Coord-Manager (C),,
BPS Health and Wellness,Manager (C) (non-ac),,
BPS Health and Wellness,Coordinator (C),,
BPS Health and Wellness,Coord-Manager (B),,
BPS Health and Wellness,Staff Asst (B),,
BPS Health and Wellness,Director (D) (non-ac),,
BPS Health and Wellness,Employment Agreement,,
BPS Health Service,Nurse,,
BPS Health Service,Nurse Specialist,,
BPS Health Service,Senior Director (BASAS 12B),,
BPS Health Service,Program Director (Basas 10B),,
BPS Health Service,Project Manager (C),,
BPS Health Service,Prin Clerk Typist 27,,
BPS Health Service,Health Para,,
BPS Hennigan Elementary,Principal Elementary,,
BPS Hennigan Elementary,Teacher,,
BPS Hennigan Elementary,Asst Principal Elementary,,
BPS Hennigan Elementary,SpEd Support Svcs Coordinator,,
BPS Hennigan Elementary,Nurse,,
BPS Hennigan Elementary,Swimming Instructor,,
BPS Hennigan Elementary,Security Para,,
BPS Hennigan Elementary,Paraprofessional,,
BPS Hennigan Elementary,Prin Clerk/School Sec 19,,
BPS Hennigan Elementary,Cafeteria Manager14,,
BPS Hennigan Elementary,Library Paraprofessional,,
BPS Hennigan Elementary,Part-Time Cafeteria Attendant,,
BPS Hennigan Elementary,Director Of Instruction,,
BPS Hennigan Elementary,Community Field Coordinator,,
BPS Hennigan Elementary,Specialist (BTU),,
BPS Hennigan Elementary,Lunch Hour Monitors,,
BPS Hennigan Elementary,Employment Agreement,,
BPS Hennigan Elementary,Sub Lunch Monitor,,
BPS Higginson Elementary,Teacher,,
BPS Higginson Elementary,Principal Elementary,,
BPS Higginson Elementary,Specialist (BTU),,
BPS Higginson Elementary,Nurse,,
BPS Higginson Elementary,Prin Clerk/School Sec 19,,
BPS Higginson Elementary,Paraprofessional,,
BPS Higginson Elementary,Cafeteria Manager 10,,
BPS Higginson Elementary,Community Field Coordinator,,
BPS Higginson Elementary,Part-Time Cafeteria Attendant,,
BPS Higginson Elementary,BPS Bi-Weekly Leave,,
BPS Higginson Elementary,Lunch Hour Monitors,,
BPS High School Renewal,Secondary Superintendent,,
BPS High School Renewal,Asst Superintendent,,
BPS High School Renewal,Director (BASAS 11B),,
BPS High School Renewal,Manager (D) (non-ac),,
BPS High School Renewal,Executive Director,,
BPS High School Renewal,Academic Superintendent,,
BPS High School Renewal,Employment Agreement,,
BPS Holmes Elementary,Teacher,,
BPS Holmes Elementary,Nurse,,
BPS Holmes Elementary,Principal Elementary,,
BPS Holmes Elementary,SpEd Support Svcs Coordinator,,
BPS Holmes Elementary,Specialist (BTU),,
BPS Holmes Elementary,Coord-Manager (C),,
BPS Holmes Elementary,Clinical Coordinator,,
BPS Holmes Elementary,Prin Clerk/School Sec 19,,
BPS Holmes Elementary,Paraprofessional,,
BPS Holmes Elementary,Security Para,,
BPS Holmes Elementary,Instructional Coach,,
BPS Holmes Elementary,Cafeteria Manager 10,,
BPS Holmes Elementary,Part-Time Cafeteria Attendant,,
BPS Holmes Elementary,Lunch Hour Monitors,,
BPS Horace Mann,Program Director (Basas 9A),,
BPS Horace Mann,Asst Principal Middle,,
BPS Horace Mann,Principal Middle,,
BPS Horace Mann,Teacher,,
BPS Horace Mann,Audiologist,,
BPS Horace Mann,Speech & Language Pathologist,,
BPS Horace Mann,Social Worker/Coordinator,,
BPS Horace Mann,School Psychologist(1),,
BPS Horace Mann,Lead Sign Language Interpreter,,
BPS Horace Mann,SpEd Support Svcs Coordinator,,
BPS Horace Mann,Nurse,,
BPS Horace Mann,Sign Language Interpreter,,
BPS Horace Mann,Manager (D),,
BPS Horace Mann,Community Field Coordinator,,
BPS Horace Mann,Prin Clerk/School Sec 19,,
BPS Horace Mann,Paraprofessional,,
BPS Horace Mann,Sen Clerk-School Secretary 15,,
BPS Horace Mann,Employment Agreement,,
BPS Human Resource Team,Teacher,,
BPS Human Resource Team,Chief Human Capital Officer,,
BPS Human Resource Team,Director (D) (non-ac),,
BPS Human Resource Team,Principal Fellow,,
BPS Human Resource Team,Specialist (BTU),,
BPS Human Resource Team,Asst Principal Middle,,
BPS Human Resource Team,Consulting Teacher,,
BPS Human Resource Team,New Teacher Developer,,
BPS Human Resource Team,Coordinator (BTU),,
BPS Human Resource Team,Pr Admin Clerk 31,,
BPS Human Resource Team,Coord-Manager (D),,
BPS Human Resource Team,Specialist (C),,
BPS Human Resource Team,Sen Coordinator (C) (non-ac),,
BPS Human Resource Team,Coord-Manager (B),,
BPS Human Resource Team,Admin Asst (C),,
BPS Human Resource Team,Manager (C) (non-ac),,
BPS Human Resource Team,Pr Admin Clerk 29,,
BPS Human Resource Team,Prin Account Clerk 31,,
BPS Human Resource Team,Prin Data Edit/Entry OP 31,,
BPS Human Resource Team,Prin Account Clerk 29,,
BPS Human Resource Team,Prin Clerk Typist 28,,
BPS Human Resource Team,Employment Agreement,,
BPS Human Resource Team,BPS Administrative Leave,,
BPS Human Resource Team,Analyst (C),,
BPS Human Resource Team,Coordinator (C),,
BPS Human Resource Team,Retirees,,
BPS Irving Middle,Teacher,,
BPS Irving Middle,Principal Middle,,
BPS Irving Middle,Librarian,,
BPS Irving Middle,Social Worker/Coordinator,,
BPS Irving Middle,Asst Principal Middle,,
BPS Irving Middle,School Disciplinary Officer,,
BPS Irving Middle,Specialist (BTU),,
BPS Irving Middle,Nurse,,
BPS Irving Middle,Student Dev Counselor (1),,
BPS Irving Middle,Prin Clerk/School Sec 19,,
BPS Irving Middle,Cafeteria Manager14,,
BPS Irving Middle,Paraprofessional,,
BPS Irving Middle,Director (D),,
BPS Irving Middle,Part-Time Cafeteria Attendant,,
BPS Kenny Elementary,Principal Elementary,,
BPS Kenny Elementary,Teacher,,
BPS Kenny Elementary,SpEd Support Svcs Coordinator,,
BPS Kenny Elementary,Technician (B),,
BPS Kenny Elementary,Security Para,,
BPS Kenny Elementary,Paraprofessional,,
BPS Kenny Elementary,Prin Clerk/School Sec 19,,
BPS Kenny Elementary,Manager (C) (non-ac),,
BPS Kenny Elementary,Part-Time Cafeteria Attendant,,
BPS Kenny Elementary,Lunch Hour Monitors,,
BPS Kenny Elementary,Nurse,,
BPS Kenny Elementary,Cafeteria Manager 10,,
BPS Labor Relations,Director (E) (non-ac),,
BPS Labor Relations,Deputy Director (D),,
BPS Labor Relations,Attorney (D),,
BPS Labor Relations,Staff Asst (B),,
BPS Labor Relations,Employment Agreement,,
BPS Labor Relations,Paralegal Assistant,,
BPS Labor Relations,Intern 3,,
BPS Latin Academy,Headmaster,,
BPS Latin Academy,Teacher,,
BPS Latin Academy,Guidance Counselor(1),,
BPS Latin Academy,Registrar,,
BPS Latin Academy,Asst Headmaster,,
BPS Latin Academy,Program Director (Basas 9A),,
BPS Latin Academy,Nurse,,
BPS Latin Academy,SpEd Support Svcs Coordinator,,
BPS Latin Academy,Librarian,,
BPS Latin Academy,Social Worker/Coordinator,,
BPS Latin Academy,Staff Asst (B),,
BPS Latin Academy,Coord-Manager (C),,
BPS Latin Academy,Prin Clerk/School Sec 21,,
BPS Latin Academy,Sen Clerk-School Secretary 15,,
BPS Latin Academy,Cafeteria Manager16,,
BPS Latin Academy,Asst Cafeteria Manager,,
BPS Latin Academy,Community Field Coordinator,,
BPS Latin Academy,Paraprofessional,,
BPS Latin Academy,Part-Time Cafeteria Attendant,,
BPS Latin Academy,Security Para,,
BPS Lee Elementary,Principal Elementary,,
BPS Lee Elementary,Teacher,,
BPS Lee Elementary,Director Of Instruction,,
BPS Lee Elementary,Specialist (BTU),,
BPS Lee Elementary,SpEd Support Svcs Coordinator,,
BPS Lee Elementary,Nurse,,
BPS Lee Elementary,Manager (D) (non-ac),,
BPS Lee Elementary,Coord-Manager (C),,
BPS Lee Elementary,Technician (B),,
BPS Lee Elementary,Instructional Coach,,
BPS Lee Elementary,Paraprofessional,,
BPS Lee Elementary,Manager (C),,
BPS Lee Elementary,Prin Clerk/School Sec 19,,
BPS Lee Elementary,Library Paraprofessional,,
BPS Lee Elementary,Cafeteria Manager14,,
BPS Lee Elementary,Community Field Coordinator,,
BPS Lee Elementary,Part-Time Cafeteria Attendant,,
BPS Lee Elementary,Lunch Hour Monitors,,
BPS Long Term Leave,BPS Bi-Weekly Leave,,
BPS Long Term Leave,BPS Bi-Weekly 26 Leave,,
BPS Long Term Leave,Retirees,,
BPS Long Term Leave,BPS Bi-Wkly 26 Leave non-ac,,
BPS Long Term Leave,Part-Time Cafeteria Attendant,,
BPS Long Term Leave,BPS Bi-Wkly 26 Leave,,
BPS Madison Park High,Executive Director,,
BPS Madison Park High,Business Agent,,
BPS Madison Park High,Coordinator (C),,
BPS Madison Park High,Headmaster,,
BPS Madison Park High,Registrar,,
BPS Madison Park High,Asst Headmaster,,
BPS Madison Park High,Program Director (Basas 10B),,
BPS Madison Park High,Program Director (Basas 9A),,
BPS Madison Park High,Teacher,,
BPS Madison Park High,Rotc Instructor,,
BPS Madison Park High,SpEd Support Svcs Coordinator,,
BPS Madison Park High,Job Placement Specialist,,
BPS Madison Park High,Guidance Counselor(1),,
BPS Madison Park High,Student Services Coordinator,,
BPS Madison Park High,Librarian,,
BPS Madison Park High,Manager (D) (non-ac),,
BPS Madison Park High,Nurse,,
BPS Madison Park High,Swimming Instructor,,
BPS Madison Park High,Social Worker/Coordinator,,
BPS Madison Park High,Community Field Coordinator,,
BPS Madison Park High,Director (C),,
BPS Madison Park High,Security Para,,
BPS Madison Park High,Technician (B),,
BPS Madison Park High,Prin Clerk/School Sec 21,,
BPS Madison Park High,Shared Manager,,
BPS Madison Park High,Cafeteria Manager14,,
BPS Madison Park High,Prin Clerk/School Sec 19,,
BPS Madison Park High,Paraprofessional,,
BPS Madison Park High,Asst Cafeteria Manager,,
BPS Madison Park High,Cluster Substitute,,
BPS Madison Park High,Part-Time Cafeteria Attendant,,
BPS Madison Park High,Employment Agreement,,
BPS Manning Elementary,Principal Elementary,,
BPS Manning Elementary,Teacher,,
BPS Manning Elementary,SpEd Support Svcs Coordinator,,
BPS Manning Elementary,Specialist (BTU),,
BPS Manning Elementary,Nurse,,
BPS Manning Elementary,Social Worker/Coordinator,,
BPS Manning Elementary,Prin Clerk/School Sec 21E,,
BPS Manning Elementary,Coordinator 7,,
BPS Manning Elementary,Paraprofessional,,
BPS Manning Elementary,Library Paraprofessional,,
BPS Manning Elementary,Lead Satellite Attendant B,,
BPS Manning Elementary,Lunch Hour Monitors,,
BPS Mason Elementary,Principal Elementary,,
BPS Mason Elementary,Nurse,,
BPS Mason Elementary,SpEd Support Svcs Coordinator,,
BPS Mason Elementary,Teacher,,
BPS Mason Elementary,Prin Clerk/School Sec 23,,
BPS Mason Elementary,Community Field Coordinator,,
BPS Mason Elementary,Surround Care Paraprofessional,,
BPS Mason Elementary,Paraprofessional,,
BPS Mason Elementary,Cafeteria Manager 10,,
BPS Mason Elementary,Part-Time Cafeteria Attendant,,
BPS Mason Elementary,Lunch Hour Monitors,,
BPS Mather Elementary,Teacher,,
BPS Mather Elementary,Principal Elementary,,
BPS Mather Elementary,Nurse,,
BPS Mather Elementary,Asst Principal Elementary,,
BPS Mather Elementary,SpEd Support Svcs Coordinator,,
BPS Mather Elementary,Prin Clerk/School Sec 19,,
BPS Mather Elementary,Fam & Comm Outreach Coord,,
BPS Mather Elementary,Paraprofessional,,
BPS Mather Elementary,Library Paraprofessional,,
BPS Mather Elementary,Cafeteria Manager 10,,
BPS Mather Elementary,Part-Time Cafeteria Attendant,,
BPS Mather Elementary,Lunch Hour Monitors,,
BPS Mather Elementary,Sub Lunch Monitor,,
BPS Mattahunt Elementary,Part-Time Cafeteria Attendant,,
BPS McCormack Middle,Principal Middle,,
BPS McCormack Middle,Asst Principal Middle,,
BPS McCormack Middle,Teacher,,
BPS McCormack Middle,Guidance Counselor(1),,
BPS McCormack Middle,Specialist (BTU),,
BPS McCormack Middle,Coordinator 7,,
BPS McCormack Middle,Nurse,,
BPS McCormack Middle,SpEd Support Svcs Coordinator,,
BPS McCormack Middle,Community Field Coordinator,,
BPS McCormack Middle,Paraprofessional,,
BPS McCormack Middle,Staff Asst (B),,
BPS McCormack Middle,Prin Clerk/School Sec 19,,
BPS McCormack Middle,Cafeteria Manager14,,
BPS McCormack Middle,Cluster Substitute,,
BPS McCormack Middle,Part-Time Cafeteria Attendant,,
BPS Mckay Elementary,Principal Middle,,
BPS Mckay Elementary,SpEd Support Svcs Coordinator,,
BPS Mckay Elementary,Teacher,,
BPS Mckay Elementary,Specialist (BTU),,
BPS Mckay Elementary,Instructional Coach,,
BPS Mckay Elementary,Director (D) (non-ac),,
BPS Mckay Elementary,Nurse,,
BPS Mckay Elementary,Community Field Coordinator,,
BPS Mckay Elementary,Prin Clerk/School Sec 19,,
BPS Mckay Elementary,Admin Asst (B),,
BPS Mckay Elementary,Staff Asst (B),,
BPS Mckay Elementary,Cafeteria Manager14,,
BPS Mckay Elementary,Cluster Substitute,,
BPS Mckay Elementary,Paraprofessional,,
BPS Mckay Elementary,Part-Time Cafeteria Attendant,,
BPS Mckay Elementary,Lunch Hour Monitors,,
BPS Mckay Elementary,Director Of Instruction,,
BPS Mckay Elementary,Sub Lunch Monitor,,
BPS McKinley Middle,Teacher,,
BPS McKinley Middle,Headmaster,,
BPS McKinley Middle,Program Director Basas 10,,
BPS McKinley Middle,Guidance Advisor(1),,
BPS McKinley Middle,Asst Program Director (7),,
BPS McKinley Middle,Nurse,,
BPS McKinley Middle,SpEd Support Svcs Coordinator,,
BPS McKinley Middle,Sen Technician 33,,
BPS McKinley Middle,Admin Asst (B),,
BPS McKinley Middle,Paraprofessional,,
BPS McKinley Middle,Community Field Coordinator,,
BPS McKinley Middle,Prin Clerk/School Sec 19,,
BPS McKinley Middle,Lead Satellite Attendant B,,
BPS Mendell Elementary,Principal Elementary,,
BPS Mendell Elementary,Teacher,,
BPS Mendell Elementary,Staff Asst (B),,
BPS Mendell Elementary,SpEd Support Svcs Coordinator,,
BPS Mendell Elementary,Surround Care Paraprofessional,,
BPS Mendell Elementary,Prin Clerk/School Sec 19,,
BPS Mendell Elementary,Paraprofessional,,
BPS Mendell Elementary,Cafeteria Manager 10,,
BPS Mendell Elementary,Cluster Substitute,,
BPS Mendell Elementary,Nurse,,
BPS Mendell Elementary,Part-Time Cafeteria Attendant,,
BPS Mendell Elementary,Lunch Hour Monitors,,
BPS Mendell Elementary,Before/After School Support,,
BPS Mozart Elementary,Principal Elementary,,
BPS Mozart Elementary,Teacher,,
BPS Mozart Elementary,Nurse,,
BPS Mozart Elementary,Prin Clerk/School Sec 19,,
BPS Mozart Elementary,Paraprofessional,,
BPS Mozart Elementary,Lead Satellite Attendant B,,
BPS Mozart Elementary,Lunch Hour Monitors,,
BPS MPH\Commerce Academy,Teacher,,
BPS MPH\Crafts Academy,Teacher,,
BPS Murphy Elementary,Principal Middle,,
BPS Murphy Elementary,Teacher,,
BPS Murphy Elementary,Nurse,,
BPS Murphy Elementary,SpEd Support Svcs Coordinator,,
BPS Murphy Elementary,Specialist (BTU),,
BPS Murphy Elementary,Librarian,,
BPS Murphy Elementary,Asst Principal Middle,,
BPS Murphy Elementary,Swimming Instructor,,
BPS Murphy Elementary,Social Worker/Coordinator,,
BPS Murphy Elementary,Manager (C) (non-ac),,
BPS Murphy Elementary,Prin Clerk/School Sec 19,,
BPS Murphy Elementary,Paraprofessional,,
BPS Murphy Elementary,Cafeteria Manager14,,
BPS Murphy Elementary,Community Field Coordinator,,
BPS Murphy Elementary,Sen Clerk-School Secretary 15,,
BPS Murphy Elementary,Cluster Substitute,,
BPS Murphy Elementary,Part-Time Cafeteria Attendant,,
BPS Murphy Elementary,Guidance Advisor(1),,
BPS Murphy Elementary,Lunch Hour Monitors,,
BPS New Mission Pilot,Headmaster,,
BPS New Mission Pilot,Teacher,,
BPS New Mission Pilot,SpEd Support Svcs Coordinator,,
BPS New Mission Pilot,Guidance Counselor(1),,
BPS New Mission Pilot,Community Field Coordinator,,
BPS New Mission Pilot,Head Staff Assistant 28,,
BPS New Mission Pilot,Cafeteria Manager14,,
BPS New Mission Pilot,Cluster Substitute,,
BPS O'Bryant School,Headmaster,,
BPS O'Bryant School,Teacher,,
BPS O'Bryant School,Registrar,,
BPS O'Bryant School,Asst Headmaster,,
BPS O'Bryant School,Student Dev Counselor (1),,
BPS O'Bryant School,Program Director (Basas 9A),,
BPS O'Bryant School,Nurse,,
BPS O'Bryant School,Rotc Instructor,,
BPS O'Bryant School,Social Worker/Coordinator,,
BPS O'Bryant School,Technician (B),,
BPS O'Bryant School,Media Specialist,,
BPS O'Bryant School,Community Field Coordinator,,
BPS O'Bryant School,Prin Clerk/School Sec 21,,
BPS O'Bryant School,Library Paraprofessional,,
BPS O'Bryant School,Paraprofessional,,
BPS O'Bryant School,Cluster Substitute,,
BPS O'Bryant School,Guidance Counselor(1),,
BPS O'Donnell Elementary,Principal Elementary,,
BPS O'Donnell Elementary,Teacher,,
BPS O'Donnell Elementary,SpEd Support Svcs Coordinator,,
BPS O'Donnell Elementary,Nurse,,
BPS O'Donnell Elementary,Prin Clerk/School Sec 19,,
BPS O'Donnell Elementary,Community Field Coordinator,,
BPS O'Donnell Elementary,Security Para,,
BPS O'Donnell Elementary,Paraprofessional,,
BPS O'Donnell Elementary,Cafeteria Manager 10,,
BPS O'Donnell Elementary,Part-Time Cafeteria Attendant,,
