,Fiscal Year,Fund Number,Fund Name,Cabinet/Secretariat Name,Department Code,Department Name,Appropriation/Account Number,Appropriation/Account Name,Beginning Balance/Prior Appropriation Continued (PAC),Original Enacted Budget (General Appropriation Act),Supplemental Budget Appropriations,Transfer In,Transfer Out,Authorized Retained Revenue Floor,Authorized Retained Revenue Ceiling,Retained Revenue Estimate,Retained Revenue Collected,Planned Savings (9C Spending Cut),Total Enacted Budget Appropriation,Other Statutorily Authorized Spending,Total Available for Spending,Total Expenses,Balance Forward/Prior Appropriation Continued (PAC),Unexpended/Reverted
15535,2013,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,89106619,ESSEX SHERIFF FEDERAL RR,0,0,0,0,0,0,2000000,2000000,1893756.34,0,0,,1893756.34,1893756.34,0,0
15753,2013,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,80700,0,0,0,0,0,0,0,,80700,80179.74,0,520.26
16168,2013,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,89100106,Reimbursement from Housing,0,0,50000,0,0,0,,0,0,0,50000,,50000,0,50000,0
16546,2013,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
16803,2013,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,833795.22,29610.22,0,0,0,0,0,0,,804185,790987.66,0,13197.34
16833,2013,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,567737.05,12119.34,0,0,0,0,0,0,,555617.71,555617.71,0,0
17105,2013,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108318,Bristol County Sheriff Salary Adjustments,0,0,1600000,0,0,0,0,0,0,0,1600000,,1600000,1600000,0,0
17579,2013,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
18338,2013,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
18644,2013,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89102222,HAMPDEN SHERIFF FEDERAL RR,0,0,0,0,0,0,500000,500000,500000,0,0,,500000,498470.93,0,1529.07
18689,2013,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89101112,Hampshire Regional Lockup Retained Revenue,0,0,0,0,0,0,158248,158248,158248,0,0,,158248,158175.59,0,72.41
18848,2013,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,89108800,Suffolk Sheriff's Department,0,90397267,4354299,5978387,3954500,0,0,0,0,0,94751566,,96775453,94370662.91,0,2404790.09
19058,2013,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,128424,0,0,0,0,0,0,0,,128424,116979.48,0,11444.52
19101,2013,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,11023309,Bureau of the State House,0,0,0,5000,0,0,0,0,0,0,0,,5000,3243.93,0,1756.07
19321,2013,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,2059938.21,230139.21,0,0,0,0,0,0,,1829799,1829700.06,0,98.94
20466,2013,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
20893,2013,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
21900,2013,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108300,Bristol Sheriff's Department,0,28001984,5928490,3737827,3737827,0,0,0,0,0,33930474,,33930474,33515616.54,0,414857.46
22310,2013,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100288,Franklin Sheriff's Department Federal Transport,0,0,0,0,0,0,350000,350000,350000,0,0,,350000,349941.09,0,58.91
22732,2013,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
23096,2013,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
23296,2013,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,1786663.29,126678.29,0,0,0,0,0,0,,1659985,1647706.04,0,12278.96
24011,2013,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,510763.48,42500.98,0,0,0,0,0,0,,468262.5,450135.91,0,18126.59
24719,2013,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108500,Nantucket Sheriff's Department,0,0,0,229332.93,0,0,0,0,0,0,0,,229332.93,221813.9,0,7519.03
25263,2013,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,682383.85,61150.35,0,0,0,0,0,0,,621233.5,593224.18,0,28009.32
25542,2013,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,89108400,Dukes Sheriff's Department,0,2524719,227978,316715.31,275497.31,0,0,0,0,0,2752697,,2793915,2781358.19,0,12556.81
26705,2013,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89000001,ADMINISTRATION AND OPERATION OF THE,0,0,0,1094550,270550,0,0,0,0,0,0,,824000,779879.24,0,44120.76
26805,2013,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
26822,2013,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,63100,0,0,0,0,0,0,0,,63100,63100,0,0
27050,2013,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
27450,2013,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,113995,70,0,0,0,0,0,0,,113925,110405.79,0,3519.21
27516,2013,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89101127,Hampshire Sheriff's Federal Inmate ReimbursementRR,0,0,0,0,0,0,250000,250000,69717.82,0,0,,69717.82,69717.82,0,0
27579,2013,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,4600,0,0,0,0,0,0,0,,4600,4600,0,0
28198,2013,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89100110,HAMPSHIRE COUNTY CORRECTIONS,0,11937088,472718,1035879,746526.95,0,0,0,0,0,12409806,,12699158.05,12680660.15,0,18497.9
28330,2013,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
654,2012,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89101101,Middlesex Sheriff Mental Health Stab Unit,0,905441,0,451991.41,451991.41,0,0,0,0,0,905441,,905441,905440.95,0,0.05
1346,2012,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89102222,HAMPDEN SHERIFF FEDERAL RR,0,0,0,0,0,0,1500000,1500000,400240.43,0,0,,400240.43,387620.94,0,12619.49
1410,2012,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,89100619,ESSEX SHERIFF'S DEPARTMENT,21578,43356922,1834679,1981834.49,1884499.49,0,0,0,0,0,45191601,,45310514,44935391.18,375000,122.82
1764,2012,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108500,Nantucket Sheriff's Department,0,0,0,214825.75,0,0,0,0,0,0,0,,214825.75,214652.45,0,173.3
1770,2012,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,98576.33,0,0,0,0,0,0,0,,98576.33,98521,0,55.33
2345,2012,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89000001,ADMINISTRATION AND OPERATION OF THE,0,0,0,374609.76,172022,0,0,0,0,0,0,,202587.76,200208.59,0,2379.17
2399,2012,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89101100,MIDDLESEX PRISON INDUSTRIES RETAINED,0,0,0,0,0,0,75000,75000,51985.05,0,0,,51985.05,50845.11,0,1139.94
3327,2012,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,502602,1155,0,0,0,0,0,0,,501447,498678.84,0,2768.16
3451,2012,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108300,Bristol Sheriff's Department,0,27202704,2804189,2420945,2420945,0,0,0,0,0,30006893,,30006893,29980479.37,0,26413.63
3903,2012,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,58101,0,0,0,0,0,0,0,,58101,58091.27,0,9.73
3942,2012,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,52500,0,0,0,0,0,0,0,,52500,52494.75,0,5.25
4259,2012,10,General Fund,SHERIFF DEPARTMENTS,NSD,SHERIFF DEPARTMENT NANTUCKET,89108500,Nantucket Sheriff's Department,0,747844,0,345680,560505.75,0,0,0,0,0,747844,,533018.25,388115.05,0,144903.2
4763,2012,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,89106619,ESSEX SHERIFF FEDERAL RR,0,0,0,0,0,0,2000000,2000000,1904478.88,0,0,,1904478.88,1902627.76,0,1851.12
5034,2012,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100003,Mental Health Forensics Services,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
5556,2012,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,89108600,Norfolk Sheriff's Department,0,23980272,3800000,9817018.55,9817018.55,0,0,0,0,0,27780272,,27780272,27742339.17,0,37932.83
5567,2012,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,88550.22,2455.67,0,0,0,0,0,0,,86094.55,86009.59,0,84.96
5670,2012,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108710,Plymouth Sheriff's Department Federal Inmate Reimbursement R,0,0,0,0,0,0,13500000,13500000,13500000,0,0,,13500000,13497490.23,0,2509.77
5928,2012,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,108567,0,0,0,0,0,0,0,,108567,68140.29,0,40426.71
6247,2012,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,46759.6,13.48,0,0,0,0,0,0,,46746.12,46746.12,0,0
6922,2012,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,2045109.54,210763.54,0,0,0,0,0,0,,1834346,1834259.6,0,86.4
7829,2012,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100145,BERKSHIRE SHERIFF'S DEPARTMENT,0,14108413,1410841,2019555.54,1976970.54,0,0,0,0,0,15519254,,15561839,15491155.11,0,70683.89
7956,2012,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89100110,HAMPSHIRE COUNTY CORRECTIONS,0,11559175,960444,1585824.1,1391596.5,0,0,0,0,0,12519619,,12713846.6,12704657.73,0,9188.87
8383,2012,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100188,Franklin Sheriff Federal RR,0,0,0,0,0,0,2100000,2100000,1977422.55,0,0,,1977422.55,1976346.65,0,1075.9
8816,2012,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,45552.86,0,0,0,0,0,0,0,,45552.86,44722.7,0,830.16
8925,2012,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,56100,0,0,0,0,0,0,0,,56100,56100,0,0
9081,2012,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,70200,0,0,0,0,0,0,0,,70200,70200,0,0
9100,2012,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108210,Barnstable Sheriff Federal Reimbursement Retained Revenue,0,0,0,0,0,0,250000,250000,220168.12,0,0,,220168.12,220168.12,0,0
9841,2012,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,89108610,Norfolk Sheriff's Department Federal Inmate Reimbursement Re,0,0,0,0,0,0,2500000,2500000,1365180.91,0,0,,1365180.91,1360820.69,0,4360.22
10613,2012,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,28102041,State Parks Fees Retained Revenue,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10763,2012,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,89108810,Suffolk Sheriff's Department Federal Inmate Reimbursement Re,0,0,0,0,0,0,8000000,8000000,8000000,0,0,,8000000,7937623.73,0,62376.27
10791,2012,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,88308.29,21292.15,0,0,0,0,0,0,,67016.14,65820.99,0,1195.15
10812,2012,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,89100105,WORCESTER COUNTY CORRECTIONS,0,39729986,693920,3687959.33,3433726.33,0,0,0,0,0,40423906,,40678139,40572693.89,0,105445.11
10938,2012,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101010,Hampden Sheriff Regional Mental Health Stab. Unit,0,905441,0,0,0,0,0,0,0,0,905441,,905441,905441,0,0
11062,2012,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100888,Franklin Sheriff Industries RR,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
11523,2012,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,63100,0,0,0,0,0,0,0,,63100,63100,0,0
11905,2012,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,149739,250,0,0,0,0,0,0,,149489,149195.93,0,293.07
11944,2012,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,887096.08,64348.08,0,0,0,0,0,0,,822748,812364.76,0,10383.24
12356,2012,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108200,Barnstable Sheriff's Department,0,0,0,828.28,0,0,0,0,0,0,0,,828.28,0,0,828.28
13065,2012,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,127528.5,8000,0,0,0,0,0,0,,119528.5,112381.9,0,7146.6
13071,2012,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,60752.15,9740,0,0,0,0,0,0,,51012.15,50966.65,0,45.5
13533,2012,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,42818.65,2296.65,0,0,0,0,0,0,,40522,39769.06,0,752.94
13692,2012,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100446,Berkshire Retained Revenue from Pittsfield Schools,0,0,0,0,0,0,500000,500000,409174.58,0,0,,409174.58,409174.27,0,0.31
14552,2012,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108200,Barnstable Sheriff's Department,0,21617391,2600218,3145265.32,3134149.8,0,0,0,0,0,24217609,,24228724.52,24224470.22,0,4254.3
14704,2012,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,89108800,Suffolk Sheriff's Department,0,88042732,6100000,19819665.82,19819665.82,0,0,0,0,0,94142732,,94142732,93647693.24,0,495038.76
15164,2012,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,300602.47,17627.47,0,0,0,0,0,0,,282975,282967.81,0,7.19
16185,2012,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108717,Plymouth Sheriff's Supplemental for Federal Inmate,0,0,2500000,124423.8,124423.8,0,0,0,0,0,2500000,,2500000,2499452.8,0,547.2
16234,2012,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,77200,0,0,0,0,0,0,0,,77200,77199.4,0,0.6
17007,2012,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,200675.98,1768.5,0,0,0,0,0,0,,198907.48,198907.48,0,0
17013,2012,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
17065,2012,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100160,CRIMINAL ALIEN ASSISTANCE RETAINED REV,0,0,0,0,0,0,850000,850000,561697,0,0,,561697,559217.44,0,2479.56
17176,2012,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89101111,HAMPSHIRE SHERIFF FEDERAL RR,0,0,0,0,0,0,,0,95277,0,0,,95277,0,0,95277
18007,2012,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,89189.34,24.34,0,0,0,0,0,0,,89165,88898.66,0,266.34
20006,2012,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,707242.72,57771.72,0,0,0,0,0,0,,649471,644109.52,0,5361.48
20678,2012,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,570175.62,10982.62,0,0,0,0,0,0,,559193,559189.79,0,3.21
21227,2012,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101000,HAMPDEN PRISON INDUSTRIES RETAINED,0,0,0,0,0,0,2251900,2251900,1953048.08,0,0,,1953048.08,1951470.78,0,1577.3
21277,2012,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100108,FRANKLIN COUNTY CORRECTIONS,0,8671430,1400000,1005007.34,973012.34,0,0,0,0,0,10071430,,10103425,10103425,0,0
21308,2012,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108315,Bristol Sheriff's Supplemental for Federal Inmate,0,0,750000,105.67,105.67,0,0,0,0,0,750000,,750000,749995.25,0,4.75
21828,2012,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89100102,HAMPDEN COUNTY CORRECTIONS,0,64209988,1811152,1970833,1559944,0,0,0,0,0,66021140,,66432029,66164240.6,0,267788.4
21963,2012,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,82000200,FOR ADMINISTRATION OF TRAINING BY THE,0,0,0,66950.42,0,0,0,0,0,0,0,,66950.42,66950.42,0,0
22459,2012,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108310,Bristol Sheriff's Department Federal Inmate Reimbursement Re,0,0,0,0,0,0,7710000,7710000,7701021.83,0,0,,7701021.83,7700125.78,0,896.05
22463,2012,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,111259.19,5574.19,0,0,0,0,0,0,,105685,104081.44,0,1603.56
23356,2012,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100107,FORMER MIDDLESEX COUNTY CORRECTIONAL,0,58708427,4699590,4467228.69,4061048.25,0,0,0,0,0,63408017,,63814197.44,62428653.04,0,1385544.4
23423,2012,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,11023301,BUREAU OF STATE BUILDINGS OPERATIONS,0,0,0,5000,0,0,0,0,0,0,0,,5000,4687.37,0,312.63
24376,2012,10,General Fund,SHERIFF DEPARTMENTS,SDA,SHERIFFS DEPARTMENT ASSOCIATION,89107100,MASS SHERIFF'S ASSOCIATION Operations,0,0,0,0,0,0,344790,344790,344788,0,0,,344788,333712.33,0,11075.67
24531,2012,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,205015.76,15.76,0,0,0,0,0,0,,205000,200239.75,0,4760.25
24538,2012,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,124314,2350,0,0,0,0,0,0,,121964,115336.54,0,6627.46
25357,2012,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100445,BERKSHIRE SHERIFF'S RETAINED REVENUE,0,0,0,0,0,0,250000,250000,244662.46,0,0,,244662.46,242040.58,0,2621.88
25497,2012,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,56301.42,101.42,0,0,0,0,0,0,,56200,56149.83,0,50.17
25881,2012,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89101112,Hampshire Regional Lockup Retained Revenue,0,0,0,0,0,0,158068,158068,158068,0,0,,158068,157909.53,0,158.47
25929,2012,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,80925.71,225.71,0,0,0,0,0,0,,80700,80697.56,0,2.44
26234,2012,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,45120103,ACQUIRED IMMUNE DEFICIENCY PROGRAM,0,0,0,14246.65,0,0,0,0,0,0,0,,14246.65,13055.9,0,1190.75
26515,2012,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,2235158,295596,0,0,0,0,0,0,,1939562,1835297.07,0,104264.93
26642,2012,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100288,Franklin Sheriff's Department Federal Transport,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
26785,2012,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89100003,Mental Health Forensics Services,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
27276,2012,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,5750,1150,0,0,0,0,0,0,,4600,4600,0,0
